week,day,title,reference,summary,studyNotes,devotional,questions
29,143,Seeking God,Pss 62–63,"These psalms use rich metaphors to describe God’s relationship to us and our need to seek earnestly after him. Relationship with God is not passive; his people must actively seek him through his Word and prayer, expressing need for him, dependence upon him, and praise for his goodness and grace.","Psalm 62. Jeduthun. This was one of the original leaders of Temple music (1 Chr 25:1). Psalm 63, Verse 1. Thirsts. David wrote this while in the wilderness, and thus this metaphor was fitting. Verse 10. Jackals. These animals were scavengers who fed on dead bodies.","Where is your faith? What do you trust? Psalm 62 stands as a testimony to faith in God. David writes about waiting for God alone. He waits in silence. He knows that God and God alone is his rock and salvation. Perhaps David has Absalom’s threats in mind when he writes, but we know broadly that the world only offers death (62:3). The world will lie about everything and enjoy every second (62:4). So where do you turn? We must turn to God. David calls the entire congregation to trust in the Lord at all times. He is the one we trust. He is the steadfast, gracious God. He is worthy of our trust. Psalm 63 also paints a vivid picture of the believer’s trust in the Lord. We should earnestly seek the Lord. We should prize the lovingkindness of God over life itself. Morning, noon, and night God is worthy of our worship and worth meditating upon.

The Psalms tell us over and over to trust God. We know we should, but sometimes we forget why. Have you considered recently how worthy of a Savior we serve? He is a worthy object of our faith. The world often speaks about faith in a nebulous, squishy way that is hard to define. The attitude of many is to “keep up the faith” no matter the circumstances. What they seem to mean is that they want to keep an optimistic attitude. That’s not bad in itself, but our confidence and optimism must arise from the right place (which is not ourselves). In other words, it’s not enough to just have faith in faith itself. No, our faith must have an object. 

When we sit down in a chair, we demonstrate our faith in the chair. Typically we don’t measure the chair, examine its materials, and calculate its weight capacity before sitting down. We just sit down. What holds us up? Is it our faith in the chair that holds us up? No, it’s the chair itself. It is a worthy object of our trust. Consider the two boys ice skating on a frozen pond. One boy apprehensively moves onto the ice inch by inch. His faith is weak. The other boy boldly skates out onto the ice. His faith is strong. Which boy will stay above the ice and which will sink? The one with strong faith or the one with weak faith? Both boys stay above the ice! It is not the intensity of faith that saves but the object. Jesus is strong enough to hold us up, no matter how weak our faith may be at any given moment. Keep trusting God, just like the psalms keep telling us.",1. What does it mean to wait for God? 2. How is seeking after God like thirsting for water in a dry land? 3. What are some ways that you can seek God?
29,144,Joash Repairs the Temple,2 Chron 24; Ps 64,"Joash did what was right in God’s sight under the influence of the godly priest, Jehoiada, but after Jehoiada died, Joash followed the example of the kings before him and turned evil. Yet God does not allow sin to go unpunished, and Joash received the end he deserved.","2 Chronicles 24, Verse 1. Joash. This is a variant of the name Jehoash, which 2 Kings uses. Verse 4. Restore the house. The temple had been severely damaged and much of the temple articles had been taken for use in Baal’s temple during the reign of Athaliah (v. 7).","Finishing well is rare. We see Christian leaders fail all the time, disqualifying themselves before the race is over. The Apostle Paul expressed his desire to finish well even as he finished his final writing in Scripture (see 2 Tim 4). When it comes to the kings of Judah, few finished well. 

Joash (referred to as Jehoash in 2 Kings) started well. He was faithful when under the influence of the priest Jehoiada. Many have pointed out that the faithfulness of the kings discussed in the Book of Chronicles can be evaluated based on their actions and attitude toward the temple. Faithful Joash is  concerned for the restoration of the temple. It had been sorely neglected during the reign of wicked Athaliah. Joash instructs the Levites to do their biblical duty and begin gathering the monies required from the people in the law of Moses to support the house of worship. The Levites did not carry out their duties quickly enough, so Joash took the lead on making sure the money was appropriately collected and used in the restoration of the temple. Things go well as long as the priest of God is there to influence the king. When Jehoiada dies, the worship of God immediately begins to be neglected. Jehoida’s influence can’t be underestimated. His great age and influence are noted as this priest is buried among kings. With the godly priest gone, the officials in the land come and convince the young king that the old man’s old–fashioned ways should be rejected. This is not the right path for someone who desires to finish well. 
 
Jehoiada’s faith abides in his son Zechariah. The priest boldly prophesies against the people, condemning them for their neglect of biblical worship. As happens so often, the people reject the truth of God’s Word. At the direction of the king, they conspire to murder the man clothed in the Spirit of God. What a shocking reversal from the king who started well. With his dying breath, Zechariah announced that Yahweh would avenge his death. It’s only a matter of time before Joash will face judgment. 

As we’ve seen so many times before, God often sovereignly uses pagan nations to execute judgment on his people. Joash has not stayed true to the Scriptures, neglected the temple and worship of God, and even murdered a faithful priest of God. God does not overlook these sins, and he uses the recurring enemy Syrian army to defeat Israel. As Joash had earlier conspired to kill Jehoiada, now his officials conspire to kill him in vengeance for Zechariah’s death. What a sad picture of a king who did not finish well. Let us learn and be faithful.",1. What kind of influence did Jehoiada have on Joash? 2. Why did Joash turn evil after Jehoiada’s death? 3. How was Joash repaid for his evil choices?
29,145,The Death of Elisha,2 Kings 13; Ps 65,"Despite Israel’s continued sin against the Lord, God delivered them from the invading enemies on the basis of his everlasting covenant with Abraham that he would give the land to his descendants. God will fulfill that promise fully in the future millennial kingdom, when Israel will possess the land, and all nations will come there to worship God.","2 Kings 13, Verse 3. Ben-Haded. This is likely Ben-Hadad III, whose reign in Syria began about 801 B.C. Verse 5. Savior. This “savior” was either Adad-Nirari, king of Assyria, whose attack on Syria freed Israel from Syria’s control, Elisha, who led Joash to defeat the Syrians (vv. 15–19), or Jeroboam II, who later was able to expand Israel’s land back into the area controlled by Syria (14:25–27). Verse 14. Elisha. Nothing has been recorded of Elisha’s activities for over 40 years. Psalm 65, Verse 1. Zion. This is literally the hill in Jerusalem on which the temple was built, but it symbolizes the entire land God had promised to Abraham. Verse 2. Shall all flesh come. This refers to the future millennial kingdom.","Yesterday’s reading focused on the southern kingdom of Judah and unfaithful king Joash. Today’s reading shifts the focus back to the northern kingdom of Israel during that same time period. King Jehoahaz of Israel begins like any other wicked king in Israel’s history. Because of his unfaithfulness, Yahweh’s anger is poured out on Israel at the hand of both Hazael and his son Ben–hadad of Syria. In an echo from Judges, Jehoahaz calls upon Yahweh for help and God indeed raises up a savior for his people. The identity of this rescuer doesn’t seem to be as important as recognizing the pattern. God gives his people rest until they once again begin to sin and face the consequences of those sins.

The new king in Israel has the same name as the king in Judah whom we read about previously: Joash. The Joash of Israel walks in the same sins of the kings before him, which are generally measured against their founding father Jeroboam who set the evil standard. We already saw that Joash of Judah began well but did not finish well. The text summarily tells of the death of both kings without much fanfare. 

The text shifts one last time to Elisha, whom we haven’t seen in about forty years. We are not told anything that happened in his ministry during these intervening years, but we find the prophet on his deathbed still ready to serve. King Joash weeps over Elisha and honors him in the same way that Elisha had previously honored Elijah. The man of God is more valuable to the nation than all of its chariots and horsemen. Elisha, too, knows that the nation’s victory will come from the Lord and not their military might. The prophet promises the king a series of victories which apparently could have been greater if the king had been more enthusiastic about obeying the word of the Lord. 

How many times has Elisha demonstrated life–giving power through the Word of the Lord? The prophet demonstrates this power once more in death. Joash may be tempted to think that God’s promises died with the prophet, but God’s Word brings life. If the nation will cling to the Word of God, it will be blessed with life. If the nation rejects God, it will bring certain death. The text is clear that God’s promises were true even after the death of Elisha. Verse 23 makes plain that God’s grace to Israel was not due to any goodness found in the rebellious nation. Instead, God showed his grace to Israel because of his promises to their forefathers. God’s grace operates the same way today, by his good pleasure.",1. Did God deliver Israel because of the goodness of the people? 2. Has God’s promise to Abraham been completely fulfilled yet? 3. When will God complete the promise he made to Abraham?
30,146,Jonah Flees God,Jonah 1–2,"In a very unusual act, God commanded his prophet Jonah to preach salvation to a foreign city. Yet Jonah ran from God’s will and was punished for his rebellion. Only a heart-felt prayer of repentance and submission resulted in his own deliverance by God.","Chapter 1, Verse 1. Jonah. Jonah was a prophet of the northern tribes of Israel during the reign of Jeroboam II (ca. 793–758 BC), just prior to the ministry of the prophet Amos (see 2 Kgs 14:25). Verse 2. Nineveh. This was a royal city of Assyria that traces back to Nimrod (Gen 10:11). It was destroyed by Nebuchadnezzar in 612 BC. Verse 3. Tarshish. The location of this city is unknown, but the Greek historical Herodotus thought it was in southern Spain.","Through the centuries many have jeered at Jonah as being a “whale of a tale,” but the Bible presents the short book of Jonah as being absolutely true. 2 Kings 14:25 references Jonah in the same manner it mentions many other historical prophets, and Jesus speaks of Jonah as a real historical figure in Matthew 12:39–41. This rebellious prophet really lived and really received the word of the Lord. He was given three crisp commands: Rise. Go. Call Out. Jonah arose, not to call out to Nineveh but to flee to Tashish. Jonah’s trajectory is clear: as he runs from God, he goes down. Down to Joppa. Down into the boat. Down lower into the deck of the boat where he lays down. Jonah’s location reflects his spiritual condition.

While Jonah is described as a rebellious prophet quickly going down, notice how wondrously sovereign is Yahweh. Jonah wants to flee the presence of God but finds it impossible. Yahweh is sovereign over the great wind. Yahweh is sovereign over the great storm. He is sovereign over the lots. He is sovereign over the great fish. You can’t read this little book and escape the all–powerful bigness of God. 

Notice also the evangelistic thread in the first two chapters of Jonah. The prophet is supposed to preach a message of repentance which implies the opportunity for salvation. Jonah is unwilling to take this message to Nineveh. Jonah knows they might actually repent! The man of God is the most distant from God in the narrative. The pagan sea captain urges Jonah to pray. The pagan sailors are willing to turn to Yahweh when Jonah is not. Here is the great irony. The prophet was unwilling to take the name of Yahweh and his message to Nineveh. But in his unwillingness to obey God, he reveals the identity of God to these sailors. They now know the name of Yahweh because of Jonah, and they are willing to pray to him even when Jonah is not. They show compassion for Jonah’s life when he was unwilling to show compassion on the lives of the Ninevites. At the end of chapter one, the mission field seems to be worshiping Yahweh while the missionary sinks even further down. He is hurled into the sea where God’s appointed fish swallows the reluctant prophet.
 
The prophet’s prayer is actually saturated with knowledge of Scripture, especially the Psalms. Jonah’s prayer crescendoes with the message he was unwilling to take to Nineveh: salvation belongs to Yahweh. If Jonah gets a second chance, will he now obey? Will you take the gospel message to others or will you run from God?",1. Why do you think God wanted Jonah to preach salvation to Nineveh? 2. Why did Jonah run? 3. In what ways did God show Jonah mercy in this account?
30,147,Jonah Goes to Nineveh,Jonah 3–4,"Jonah finally obeyed God and proclaimed the message from the Lord to Nineveh. God worked a miracle, and the people responded in repentant faith. As a result, God withheld his judgment. This whole event contrasts with Israel’s lack of repentance and the inevitable judgment that was to come upon the nation, illustrated with Jonah’s terrible response to Nineveh’s repentance.","Chapter 3, Verse 6. King of Nineveh. This was likely either Adad-nirari III (ca. 810–783) or Assurdan III (ca. 722–755). Chapter 4, Verse 3. Take my life. Jonah revealed his own sinful heart that actually had not changed even as a result of God’s chastisement.","God is so gracious to give second chances. The rebellious prophet repented, and Yahweh gives him a second opportunity to obey. The command has not changed: Arise. Go. Call out. God has given a second chance, but he is still demanding complete obedience. There is no opportunity for Jonah to change or soften the message. He survived the great storm and the great fish, but will he survive the great city? Nineveh was known for its exceeding violent wickedness and its worthless worship. History tells us that the royal city of Assyria had experienced great political and social upheaval along with natural disasters that surely primed the people to be open to hearing from God. Like the wicked cities of our day and our own neighborhoods, the only question is whether someone will take the gospel message to them.

This time Jonah obeys. He arose, he went, and he preached. We’re only told the simple overview of his message, and yet we’re told the people repented and believed. They said “Amen” to Jonah’s sermons, and a great revival broke out in Nineveh. Even the pagan king repents and leads the nation in turning to God. The king sounds like the captain of the ship Jonah fled on: “Who knows, God may turn and relent.” In his gracious mercy, God does indeed relent because Nineveh did indeed repent. Jesus tells us in Matthew 12:41 that Nineveh’s repentance was genuine. 

Real repentance and conversion in the congregation is what faithful preachers long to see. Not Jonah. He is exceedingly, extremely angry. Jonah’s heart is revealed in his response to Nineveh's repentance. He essentially says he would rather die than be the instrument of God’s compassion to Nineveh. He sits outside the city hoping that perhaps judgment will still come on the city. The sovereign God is still at work in Jonah as Yahweh appoints a plant, a worm, and a wind to reveal the sad state of Jonah’s soul. 

The book ends as dramatically as it began. We’re not given a satisfying conclusion to the story. We’re forced to put ourselves in the place of Jonah. Where is our Nineveh? Do we actually want to see people repent and know Christ? Nineveh’s repentance should be convicting to Israel. If the pagan nation turns to God, shouldn’t the set apart nation turn to God? Yet, as we will soon see, Israel’s rebellion is only growing and they will soon fall. What about us? Will we rebel like Jonah? God doesn’t promise second chances for obedience. We should obey him today. In what areas of your life are you knowingly rebelling against God? ",1. Why did God withhold his judgment from Nineveh? 2. In what ways did the response of Nineveh contrast with Israel’s current condition? 3. What did Jonah’s response reveal about his heart?
30,148,Let All Things Praise the Lord,Pss 66–68,"God’s people worship the Lord now and receive rich blessings from him. One day, however, all things, including all the Gentile nations of the earth, will worship God perfectly.","Psalm 66, Verse 4. All the earth. This acknowledges God’s universal rule over all, but also foreshadows the future when all will worship God (Isa 66:23; Zech 14:16; Phil 2:10–11). Psalm 67, Verse 1. Face to shine. When a king’s face “shone” toward someone, this indicated his pleasure with that person and his intention to bless them. Verse 3. Peoples. This refers to the Gentile nations, all of whom will one day worship the Lord. Psalm 68, Verse 18. Ascended on high. Paul quotes this in Ephesians 4:8 with reference to Christ’s triumphant ascension into heaven.","Psalm 66 God always keeps his promises. He keeps his promises to all his people, and he keeps his promises to you. Psalm 66 is a joyful psalm that celebrates and gives thanks to God for all of his mighty works. Come and see the works of God! The psalm begins by declaring the world-wide praise of God, but then it begins to focus on God’s particular people. Like so many times in Scripture, the Bible points back to the exodus as a benchmark example of God’s salvation. In verse 6, the psalmist points back to the crossing of the Red Sea as an example of God’s sovereignty and salvation which should result in joy for his people. God preserved his people through many trials—many dangers, toils, and snares—and brought his people into a place of abundance. The psalm shifts from the group to the individual in verse 13. God has been faithful to his people, but he is also faithful to the individual person. How has God been faithful to you? Are you busy proclaiming the good news of Christ? Can you join with the psalmist in verse 16 and say, “Come and hear, all who fear God, and I will recount what He has done for my soul”?

Psalm 67 This short psalm is a wonderful prayer for the blessing of God. Verse 1 calls back to the great blessing of Aaron in Numbers 6:24–26: “May the Lord bless you and keep you and cause his face to shine upon you . . .” The blessing of God results in praises from the people of God. How many times in the New Testament do we see this same idea expressed in greetings like “Grace to you and peace from God our Father and the Lord Jesus Christ”? God’s benediction upon us—his blessing—empowers us to proclaim his name to the ends of the earth. 

Psalm 68 We’re not told the occasion for David’s rich celebration of God’s care for his people, but the text is full of prayer and praise. God scatters his enemies which causes his people to rejoice (1–3). God is worthy of praise and song, particularly because of his care for the vulnerable and helpless (4–6). The history of God’s faithfulness in the past should spur his people on to trust him in the present (7–10). The Lord has victory over his enemies (11–14). God is present among his people, pictured at that time through the sanctuary but ultimately pictured through Christ (15–18; see Eph 4:8). God daily bears the burdens of his people, which will include both Jew and Gentile. The kings of the earth will one day praise him. Blessed be God!",1. In what ways does God rule over all things now? 2. In what unique ways will God rule over all things in the future? 3. What should be the response of God’s people to the promise that one day all things will worship God?
30,149,Uzziah Reigns in Judah,2 Chron 26; Is 6; Ps 87,"Uzziah was a good king who did right in the sight of the Lord, and thus God gave him many victories. Yet those victories gave Uzziah pride so that he disobeyed the Lord by offering incense in the temple, and God punished him with leprosy. The same year Uzziah died, the prophet Isaiah was given a vision of heaven in which he saw the Ultimate King ruling and from whom he received forgiveness of sin and a message from the Lord.","2 Chronicles 26, Verse 5. Zechariah. This is neither the priest mentioned earlier in 24:20, nor the prophet who wrote the book of Zechariah, but rather an otherwise unknown prophet. Verse 16. Entered the temple. The Law forbade a king from taking the role of a Levitical priest (Num 3:10; 18:7). Verse 22. Isaiah. This is not the inspired book of Isaiah the prophet, but rather some other book Isaiah the prophet apparently wrote. Verse 23. Uzziah slept. This was the very year Isaiah the prophet had his vision of heaven (Isa 6).","King Uzziah reigned over fifty years in Judah,  beginning at the age of 16. He followed in the good steps of his father Amaziah before him. He was helped by an otherwise unknown prophet named Zechariah (not to be confused with the prophet we met in chapter 24 or the prophet who wrote the book in Scripture). The text begins by telling of Uzziah’s victories. His fame is well–deserved, for he built a great army and made great structural improvements to the nation. Sadly, the problem that has plagued mankind since the garden is revealed in the heart of the king: the sin of pride. We would say that Uzziah has much to be proud of with his earthly achievements, and yet he attempted to seize authority that he did not have. 

To put it simply, King Uzziah is a king and not a priest. The king had no right to offer incense before a holy God. This was the work of the priests. 80 priests attempted to tell the king this very thing, but Uzziah would not be stopped. The chief priest Azariah gives the king an opportunity to repent and not offer this sinful sacrifice, but in the midst of his angry response God judges the king. The Lord could have killed Uzziah on the spot as he did with Nadab, Abihu, Uzzah and others. In his mercy the Lord punishes the king with leprosy. Oh dear reader, be reminded of the seriousness of sin. Don’t tempt the mercy of God. 

Uzziah would not submit to the priests as king, so he now must submit to the priests as a leper. This long history of kings began with a son of David who built the house of God, but now this son of David cannot even enter the house of God. We need the perfect Son of David to welcome us into the household of God lest we meet the fate of Uzziah.

 Other acts of Uzziah’s reign are given in the works of Isaiah, but not the book we have in Scripture. We do see Uzziah make an appearance in the Book of Isaiah, but it is an appearance in death. In the year that King Uzziah died, Isaiah had a vision of Jesus Christ in the temple. The cleansing that Uzziah needed was the same cleansing that Isaiah needed, and it is the same cleansing that we need today. We must be cleansed by the true King. Once Isaiah had his sins covered by Christ, he was ready to hear from the Lord and serve him. May we come once again and be cleansed by the King, so that we might be sent out to serve him.",1. What caused Uzziah to grow proud? 2. Why was the fact that God only gave Uzziah leprosy actually an act of mercy? 3. On what basis were Isaiah’s sins forgiven?
30,150,"Save Me, O God!",Pss 69–70,"When God’s people call for deliverance from God, he answers them. We might not always understand why God allows difficult circumstances to come into our lives, but he always has a perfect plan and will never let his people be completely overcome. There is no better example of this than in the life and death of Jesus Christ.","Psalm 69, Verse 4. Hate me. Christ quoted this in reference to himself in John 15:25. Much of this psalm has application to Christ’s earthly ministry. Verse 9. Zeal for your house. This verse is quoted in John 2:17 and Romans 15:3. Verse 21. Sour wine. This happened to Jesus on the cross (Matt 27:34). Verse 22. Snare. This is quoted in Romans 11:9–10. Verse 25. Desolation. This is quoted in reference to Judas in Acts 1:20. Psalm 70. This psalm is nearly identical to Psalm 40: 13–17.","God’s Word is amazing. Psalm 69 was written by a suffering yet sinful man, as David makes plain about himself in verse 5. Yet so much of the text points forward to the sinless suffering servant Jesus Christ. A thousand years before our Lord was crucified at Calvary, God’s people were given a glimpse into the agony of their eternal king through the agony of their earthly king. 

David protests that he has not wronged the enemies who are attacking him. He says they hate him without cause, and we saw that happen more than once in David’s life. The Apostle John tells us that Jesus saw David’s situation ultimately as a prophecy of our Lord’s own innocent suffering. He was truly hated without cause, yet the hatred that nailed Jesus to the cross was part of the predetermined plan of God to bring about our salvation.

The psalmist associates his suffering with his faithfulness to God. David is so closely identified with the Lord that the reproach he is facing is because his enemies are really bringing reproach upon God. In verse 9, David says that he is eaten up with passionate concern for the worship of God. “Zeal for Your house has consumed me,” he says. Jesus’s disciples would later realize that these words were perfectly pictured in the Lord’s actions in the temple ( Jn 2:17). Out of zeal for his Father’s house, Jesus drove out the moneychangers and the ones selling animals there in the temple. He had watched until he could watch no more. He was consumed with the purity of his Father’s house. Just as David could no longer tolerate the compromise and hypocrisy of the people of God, Jesus could not stand the corruption of his Father’s house of prayer, and he drove out the offenders.

In verses 19–21 the psalmist confides to God that even in his deepest despair, he found no comfort from friends. They gave him no sympathy, but instead only gave him bitter food and drink. What may have been a word picture for the writer became reality for Christ on the cross. He was offered bitter gall, a poisonous herb, to eat. He was given vinegar to drink. Food that didn’t nourish his life and a drink that did not quench his thirst. This is what was given to the Bread of Life and the Living Water as he died to give us life and nourish our souls. Isn’t God’s Word amazing to give us such a confident prayer of a suffering sinner like David? Isn’t God’s Word amazing to give us such a vivid picture of Christ?",1. In what ways does the New Testament apply Psalm 69 to Jesus Christ? 2. How can Jesus’s life and death give us confidence in the midst of trouble? 3. What should we do when we are in the midst of trouble?
31,151,God Is My Strength,"Pss 71, 73","Despite circumstances of old age or the trials of life, God remains faithful to his people. He may not deliver his people from every bad circumstance of life, but he will restore his people in the end and give them the strength to endure difficulties to his glory.","Psalm 71. This psalm expresses concern related to old age. Verse 3. Continually. Psalm 71:1–3 is almost exactly the same as Psalm 31:1–3, with the exception that Psalm 71 adds the word “continually,” emphasizing God’s faithfulness to the aged author of the psalm. Psalm 73. This psalm begins book three of the psalter and was written by Asaph.","Psalm 73 begins book three of the psalter. Asaph was a Levite and a leading musician. We don’t know specifical details surrounding the writing of this psalm, yet we can learn much from a close reading of the text. The psalmist was growing bitter over the supposed prosperity of the wicked. It seemed like the wicked were getting away with everything! In verses 4–9 he rehearses all the ways they seem to be flourishing. It just didn’t seem like they were going to get punished for their sin. The psalmist was far too focused on their seeming success and was sinking deeper and deeper into bitterness. He recognizes that had he continued on the path of bitterness, he would even be harming his family. Bitterness never ends well! 

Everything changed in verse 17. Worshiping God changes our perspective. The broken and bitter psalm writer saw things in perspective when he entered the sanctuary of God. Worshipping with the people of God is a key tool that the Lord has given in the Christian life, including in this battle against bitterness. Sitting under the proper preaching of the Scriptures shapes our mind even when our feelings are fickle. There in worship Asaph was reminded of the true future destiny of the wicked. They may seem to be flourishing now, but that’s not the end of the story. Those who seem to have everything under control in this life will lose all control at the moment of death. They seem to have it all together but they will be undone in the presence of God. 

Looking back at the situation after having his thinking corrected in the sanctuary, Asaph recognizes just how wrong his thinking truly was. In the midst of bitterness the psalmist says he was no better than an animal. Lest you overvalue your furry friend, he says clearly, “I was senseless, brutish, and ignorant.” That’s not a flattering picture of what bitterness does in the life of a believer! It is an honest one though.  We must recognize how dangerously we all flirt with bitterness at times. We see the wickedness of the world, and we think they are going to get away with it. God’s word corrects our thinking. Worshiping with the people of God shapes our souls. Be guided by the Scriptures. Be sustained in the sanctuary. Remember the truth of Scripture: the wicked will not prosper. Those who are far from God will perish! This is not something we meditate on flippantly. Remembering the judgment that will befall all who reject God must certainly humble us and help us avoid bitterness. Take refuge in Yahweh, for he is good.",1. In what ways has God been continually faithful to you? 2. How can the testimony of God’s faithfulness to a person of old age be encouraging to us? 3. In what ways does God give us strength when we face difficult circumstances?
31,152,Israel Falls,2 Kings 17; Ps 74,"Israel’s defeat was directly traceable to the sin of Jeroboam, which the nation never corrected. Out of convenience and pragmatism, Jeroboam had established syncretistic religious practices, mixing pagan worship with the truth worship of Yahweh. This had inevitably resulted in eventual idolatry, leading to the nation’s ultimate demise.","2 Kings 17, Verse 6. Carried. According to Assyrian records, Assyria captured 27,290 Israelites and deported them to different locations in the empire. This occurred in 722 B.C. Verse 19. Judah. The author includes Judah in his explanation for the exile, even though Judah’s captivity would not occur for another 80 years. Verse 24. Samaria. Samaria was resettled with foreigners, just as God had predicted (Deut 28). These people intermarried with Jews who had been left behind, become the Samaritans, who were later hated by New Testament Jews.","Reading an autopsy is never pleasant work, and yet sometimes it can be required reading. 2 Kings 17 gives us the official understanding of how the Northern Kingdom of Israel fell. It is often said that history is written by the victors. No doubt that many alternate explanations were offered for the death of the nation, but God leaves no room for doubt. Israel is rejected because they rejected Yahweh. 

We’re introduced to the final king of Israel, Hoshea. We’re told about his beginning, but we’re not told his ending like we have been with other kings. That is most likely because the kingdom ended before he did. Like we’ve seen before, the king starts cutting deals with other kingdoms in order to save his political skin. When Hoshea double–crosses the king of Assyria, he finds himself bound in prison. How tragic that all those years ago God delivered his people out of Egypt only for Hoshea to seek help from the king of Egypt in his day. If only he had truly trusted the Lord. 

One verse tells of the defeat and exile of the entire nation, but the heart of the chapter explains the reason God caused this to happen. The conquering Syrians would surely say, “Our god defeated your god.” Yahweh makes clear that it is not because he is weak that Israel has been defeated. Their downfall is a result of their idolatry. Verses 7–23 rehearse the nation’s history of sin. They did not walk in the commandments of God (verse 8). They did not listen to him or believe him (verse 14). The nation that had been told to be fruitful and multiply is darkly sacrificing their children (verse 17).  Because the people did not depart from the wicked sins of their previous kings, Yahweh caused Israel to depart from his presence into exile (verse 23). This exile that historically happened in 722 B.C. had been prophesied all the way back in Deuteronomy 28 and repeated in 1 Kings 14. God always keeps his word.

God’s people have been cast out of God’s land and now pagans are living in the land of Samaria (Israel). The hated Samaritans of the New Testament can be traced back here to the marriages between Jews and those Gentiles who are repopulating the land. The people of the land are mixing the methods of worshipping God with the worship of their false gods. In short, there’s as much cultural chaos and confusion in Hoshea’s day as there was in Joshua’s. The people of God need an even greater deliverance than they received out of Egypt. For now we keep looking for the promised seed of God to come.",1. What led the people of Israel into idolatry? 2. In what ways do the problems of Israel resemble problems with Christian worship today? 3. Was God’s punishment of Israel just?
31,153,Hezekiah Destroys the High Places,2 Kings 18–19; Ps 75,"In stark contrast to the syncretism and idolatry of Israel’s kings, Hezekiah destroyed the high places and reestablished true worship at the Temple in Jerusalem. This pleased the Lord and provided Judah protection from the invading Assyrian armies.","2 Kings 18, Verse 4. High places. Hezekiah was the first king of Judah to destroy the high places. Hezekiah’s faithfulness to the Lord may have been the only thing keeping Judah from suffering the same fate that Israel had at the hand of Assyria. Verse 17. The Tartan, the Rab-saris, and the Rabshakeh. Tartan is a title for the Assyrian general; Rab-saris was a palace official; and Rabshakeh meant “commander.” Verse 22. High places. The Rabshakeh wrongly assumed that Hezekiah’s destruction of the high places limited the opportunity for the people to worship their God. Chapter 19, Verse 2. Isaiah. This is the first reference in Kings to this important prophet. He had been ministering in Judah since the reign of Uzziah (Isa 6:1), 40 years prior. Verse 31. The Zeal of the Lord. God promises a future messianic kingdom on the same basis as his promise of present deliverance of his people from Assyria.","Israel has fallen because of their idolatry. Will Judah meet the same fate? In 2 Kings 18–19 we see a king from the line of David who looks more like his forefather than anyone else so far. Let us meet Hezekiah. It is shocking that wicked Ahaz is the father of good king Hezekiah who does what is right in the sight of God. We’re told that Hezekiah clung to Yahweh, and Yahweh was with him (18:6–7). The author reminds us of Israel’s downfall at the hands of the Assyrian kingdom (18:9–12). Verse 13 moves the timeline forward a decade with a new king of Assyria to worry about. It seems that this good king is about to attempt to cut a deal with a wicked king to avoid defeat. This hasn’t gone well in the past, but how will it go with Hezekiah?

Assyria’s king sends members of his cabinet to negotiate with the king of Judah. Hezekiah has already been marked as a man who trusts God (18:5), but his trust is challenged throughout the speech of 18:19–25. The enemy is attempting to intimidate Judah by telling the people that Hezekiah has brought punishment on them from Yahweh for tearing down the altars and high places. Little do the enemies of God realize that this was exactly what the faithful king was supposed to do. Don’t miss how much Rabshakeh sounds like the serpent in the garden. His speech could essentially be summarized: “Has God really said?” Just as the serpent made false promises in the garden, Rabshakeh promises the people blessing and prosperity. He says that Yahweh clearly is unable to actually provide for and protect his people. They must merely make their peace with him, not Yahweh. Satan also offers a false gospel! 

Upon hearing this message, Hezekiah continues to trust the Lord. In deep emotion he enters the temple and sends for prayers from the prophet. God sends his answer through Isaiah: “Do not be afraid . . . I will make [the enemy] fall” (18:7). God promises to plant a rumor that will bring the defeat of Assyria. The ever–persistent Rabshakeh continues to try and plant doubts in the people of God, this time suggesting to Hezekiah that God himself will deceive him. He essentially says that Assyria has an unbeaten track record, and there’s still time for Hezekiah to cave. When he hears of the latest threat Hezekiah himself prays for victory from God and for the glory of God to be made known. Yahweh promises the fall of Sennacherib and promises to protect his people. God perfectly keeps his promises. ",1. What differentiated Hezekiah’s reign from the kings of the northern kingdom? 2. Why was Assyria successful in defeating Israel but unsuccessful in conquering Judah? 3. How does God’s protection of Judah in this account give us hope for the establishment of the future messianic kingdom?
